phrase,class
want learn gravity exhibition recommend,1
show exhibition sustainability,1
interested amazon,5
7 ticket oct 10,0
interested animal,5
show exhibition artic,1
one ticket sunday,0
climate passion mine exhibition caixa museum cover,1
jenilyn,4
hard time getting folk thought well every - er gone home,3
could get two ticket,0
would like 4 ticket please,0
29 mar,5
want buy 5 ticket universe room exhibition,0
want buy one ticket exhibition climate change,0
actually favorite chain shoney ' s,3
love south america mar,5
want ticket museum,0
cosmocaixa museum everyone,2
museum open jan 21,2
visiting museum week part museum see,2
ten ticket caixa museum please,0
one ticket,0
jan 31,5
see antarctic base wednesday,2
universe room suitable kid,2
3 ticket universe room exhibition,0
exhibition ecology,2
8 ticket nov 15 please,0
want buy 4 ticket,0
love evolution,5
earth sustainability,5
surprised slapstick movie ' s really way comedy right,3
5 ticket nov 12 please,0
show exhibition landscape,1
said whole idea ' s important changed,3
museum open next saturday,2
one ticket friday please,0
would reason would take advantage,3
like big bang climate change,5
photo climate,5
exhibition geological wall,2
love matter exhibition go,1
one ticket jun 30 please,0
would like get 8 ticket please,0
nice get know,4
three ticket geological wall exhibition,0
environment passion mine exhibition caixa museum cover,1
exploration,5
science,5
love climate change climate change,5
see sustainable building 19 apr,2
like life,5
see universe room may 02,2
exhibition architecture,1
n ' t last two year last year set twin,3
7 ticket antarctic base exhibition,0
one ticket wednesday,0
interested south pole exhibition go to =,1
1 ticket next friday please,0
like planet,1
could please get nine ticket,0
husband child miss ' s kind got back eighteen month,3
get ticket please,0
mean sense ' ve come long way yes ' ve sacrificed lot get,3
4,5
see antarctic base today,2
want buy four ticket flooded forest exhibition,0
would like 2 ticket,0
exhibition north pole,1
like space,5
need help,4
may 01,5
see sustainable building 08 sep,2
2 ticket sustainable building exhibition,0
need 6 ticket,0
good luck,3
want buy 1 ticket exhibition sustainability,0
like north pole,5
geological wall,5
would like get ticket please,0
get nine ticket please,0
interested planet exhibition go to =,1
like architecture,1
museum open 01 oct,2
someone stuc - held seven eleven think,3
interested photography suggest,1
mixed inside,3
8 ticket next weekend,0
interested moon life,5
3 ticket antarctic base exhibition,0
like earth amazon,5
' ve never heard,3
call tyeshia,4
08 oct,5
like said would really lot second thought put family member,3
could get 6 ticket,0
interested technology suggest,1
month,2
see geological wall sunday,2
want learn south pole exhibition recommend,1
two ticket apr 16 please,0
like universe,5
see universe room tuesday,2
n ' t believe often happens,3
five,5
visiting museum jun 12 part museum see,2
like landscape,1
despite belief charismatic christian faith,3
see antarctic base next month,2
11 mar,2
want learn north pole exhibition recommend,1
like planet,5
love earthquake exhibition go,1
hello,4
nature,5
see antarctic base next friday,2
exhibition efficiency,2
life climate change,5
call ferman,4
want buy 10 ticket exhibition north pole,0
take kid along ?,3
11 apr,5
flooded forest,5
sep 27,5
interested nature,5
good afternoon,4
ten ticket thursday please,0
exhibition artic,2
hearing cricket listening bird,3
want buy ten ticket flooded forest exhibition,0
5 ticket please,0
ticket,0
know got degree got better paying job,3
2 ticket apr 02,0
want buy 2 ticket universe room exhibition,0
like design,1
want buy 10 ticket sustainable building exhibition,0
tell antarctic base exhibition,2
good morning,4
water,5
although usually guy turning guy know going get caught anyways,3
get three ticket please,0
want buy three ticket antarctic base exhibition,0
8,5
would like 5 ticket please,0
well dental,3
7 ticket tuesday,0
interested education exhibition go to =,1
would like get nine ticket please,0
related architecture,1
8 ticket saturday please,0
could please get 6 ticket,0
four ticket next tuesday,0
want buy five ticket exhibition astronomy,0
10 ticket aug 07 please,0
flooded forest,5
love volcano star,5
like climate,5
pushed heard click,3
strip oh four five six little roll coil line hand,3
7,5
museum open 27 oct,2
know trip fun,3
21 nov,2
like sun,5
see universe room next wednesday,2
9,5
nice see,4
say hello,4
called onika,4
maybe would chicken something,3
feel going stuff,3
sep 22,2
museum open weekend,2
6 ticket next saturday,0
like photo,5
like south america,1
gee know n ' t terrible,3
exhibition urban planning,1
want buy ticket exhibition earth,0
love water exhibition go,1
well many chance appeal kee,3
see sustainable building 29 aug,2
want learn rock exhibition recommend,1
name onika,4
whip head,3
six,5
see geological wall 01 jul,2
see geological wall 05 sep,2
see geological wall oct 21,2
see universe room dec 02,2
3 ticket month,0
like star,5
interested ecology sun,5
would like six ticket,0
universe room,5
7 ticket,0
4 ticket flooded forest exhibition,0
track sh -,3
jungle,5
could get 2 ticket,0
deep deep,3
name jane,4
think kid like flooded forest,2
visiting museum 17 dec part museum see,2
5,5
call ezequiel,4
8 ticket weekend please,0
7,5
want buy ticket sustainable building exhibition,0
life treating,4
animal,5
climate change geology,5
name casimiro,4
four ticket 09 jul,0
like technology,1
thursday,5
want buy 8 ticket exhibition south pole,0
righty think russia ' s still threat ?,3
11 mar,5
02 jul,5
like sun,5
name isabela,4
good evening,4
like tennis mean ' m n ' t played year like watch know,3
oh sound great well also five child,3
volcano passion mine exhibition caixa museum cover,1
' s amazing know prior like nineteen - twenty heart attack,3
tomorrow,5
like artic,1
know comedy like joke know gag stuff like,3
five ticket 07 jan please,0
9 ticket,0
want buy 3 ticket flooded forest exhibition,0
recommendation exhibition visiting museum,1
universe room exhibit start,2
planet,5
four ticket exhibition forest,0
call jacen,4
believe peace corp knew marry peruvian,3
24 apr,5
name andreia,4
get 6 ticket please,0
like gravity,1
interested science suggest,1
could get 5 ticket,0
jul 04,5
buy ticket caixa museum,0
love ecology exhibition go,1
see universe room month,2
see universe room jun 18,2
museum open friday,2
earth,5
kid like universe room,2
like nature,5
want buy 8 ticket,0
work ?,4
2 ticket 23 nov please,0
interested urban planning,5
like evolution,5
2 ticket next wednesday,0
like environment,5
exhibition technology,1
9 ticket jul 10 please,0
want buy three ticket geological wall exhibition,0
love physic exhibition go,1
interested planet suggest,1
' s pretty weird,3
thursday,5
8,5
make little active television,3
feb 21,5
interested efficiency exhibition go to =,1
jane,4
4 ticket mar 02,0
although still hear occasionally,3
interested exploration,5
well thank much bye - bye,3
want buy 6 ticket,0
6 ticket universe room exhibition,0
see universe room thursday,2
19 jun,5
like photography climate change,5
want buy nine ticket exhibition science,0
exhibition jungle,1
see sustainable building 25 apr,2
love sun,5
sustainability passion mine exhibition caixa museum cover,1
efficiency universe,5
exhibition climate,1
oct 20,5
need two ticket,0
well girl age,3
' s way worked maryland certain portion property tax go education,3
9 ticket caixa museum please,0
siaosi,4
like animal,5
five ticket jan 16 please,0
see sustainable building jun 15,2
two,5
like evolution,5
four ticket,0
lot common sense,3
6 ticket flooded forest exhibition,0
8 ticket,0
related animal,1
name shawn,4
n ' t n ' t n ' t aware,3
related sustainability,1
would like go universe room exhibition 04 apr,0
like south america,5
antarctic base,2
name deric,4
know thought making good wage,3
well first amendment definitely say freedom speech,3
instruct - professor,3
lot growing,3
love climate change exhibition go,1
like water,1
interested south america exhibition go to =,1
see geological wall 10 feb,2
jul 21,5
interested north pole suggest,1
n ' t know get kind greeting,3
well really overburdened federal state local,3
tell geological wall exhibition,2
six ticket next wednesday please,0
related big bang,1
could get 9 ticket,0
4,5
9 ticket geological wall exhibition,0
visiting museum 16 sep part museum see,2
like earth,5
4 ticket caixa museum please,0
love rock exhibition go,1
see antarctic base sep 16,2
see universe room sunday,2
interested north pole exhibition go to =,1
architecture,5
like jungle,5
little bit splash,3
like environment,5
05 mar,5
five ticket,0
feb 11,5
6,5
seven ticket next saturday,0
nice see,4
9 ticket antarctic base exhibition,0
next sunday,2
exhibit available,2
seven ticket tomorrow,0
' s kind hard elderly person sometimes totally dependent,3
9 ticket 26 dec please,0
' s ' s little rough know quite sort thing,3
six ticket 18 feb,0
eight ticket please,0
sure ' s ' s big responsibility really,3
guess problem ' s true authority kind international verdict,3
like sun,5
want buy nine ticket universe room exhibition,0
well ' m west texan,3
technology passion mine exhibition caixa museum cover,1
nine ticket monday,0
see flooded forest monday,2
see geological wall mar 08,2
appalled paying could n ' t believe,3
see antarctic base 17 jul,2
show exhibition design,1
1 ticket geological wall exhibition,0
much 3 ticket museum cost ?,0
help something ?,4
love efficiency astronomy,5
want learn climate change exhibition recommend,1
know foreigner,3
know would something look ' s really neat,3
exhibition biodiversity,1
exhibition exploration,2
like south pole,5
' ve cholesterol checked time ' ve never like know - hundred fifty,3
like brazil,5
related north pole,1
interested water suggest,1
see geological wall friday,2
love environment,5
ticket exhibition evolution,0
murphy brown designing woman mumblex,3
love artic,5
see geological wall 23 feb,2
tuesday,5
love evolution,5
' s fly call pattern,3
front treadmill,3
five ticket next sunday please,0
want buy six ticket universe room exhibition,0
n ' t ' s harder think poor people suffered way,3
enjoyed talking pet,3
want buy 1 ticket sustainable building exhibition,0
want buy three ticket sustainable building exhibition,0
would like get 8 ticket,0
see flooded forest sunday,2
want buy 10 ticket,0
' ve twelve year ' m sure ' ve,3
25 jun,5
visiting museum jul 22 part museum see,2
think freedom choice,3
two ticket 06 may,0
would say go ahead execute person well,3
cosmos,5
love star,5
10 ticket antarctic base exhibition,0
love planet,5
6,5
three ticket please,0
seven ticket aug 14,0
want buy ten ticket,0
architecture passion mine exhibition caixa museum cover,1
climate,5
six ticket 06 aug please,0
2 ticket apr 03 please,0
museum open saturday,2
' s going ' s going really good,3
weekend,5
sun passion mine exhibition caixa museum cover,1
hey,4
next saturday,5
like sustainability jungle,5
interested photography exhibition go to =,1
see geological wall next weekend,2
interested matter exhibition go to =,1
one ticket 15 sep please,0
tell universe room exhibit,2
would like get 10 ticket please,0
' s excuse ' s bumble pattern ' s mosquito pattern ' s wasp pattern ' s grub pattern,3
want buy ten ticket antarctic base exhibition,0
show exhibition urban planning,1
love rock,5
like life,5
exhibition nature,2
light,5
love space,5
love architecture exhibition go,1
universe design,5
museum open wednesday,2
mean n ' t miss much,3
six ticket jun 23 please,0
saturday,5
seven,5
could please get one ticket,0
like brazil,5
monday,5
2 ticket flooded forest exhibition,0
interested nature earth,5
05 nov,5
want buy seven ticket geological wall exhibition,0
1 ticket apr 24,0
well n ' t know know,3
want buy eight ticket antarctic base exhibition,0
seen long time,4
four ticket flooded forest exhibition,0
could get one ticket,0
related rock,1
visiting museum saturday part museum see,2
want buy 6 ticket exhibition education,0
like astronomy,5
interested environment suggest,1
oh ' m midland,3
quit company,3
museum open next month,2
show exhibition sun,1
1 ticket caixa museum please,0
see antarctic base thursday,2
02 dec,2
like technology,5
related star,1
museum open jun 30,2
one ticket sustainable building exhibition,0
love amazon exhibition go,1
astronomy passion mine exhibition caixa museum cover,1
like south america nature,5
want buy ticket universe room exhibition,0
exhibition exploration,1
interested photo,5
want buy 6 ticket sustainable building exhibition,0
like rock,5
get 4 ticket please,0
buford,4
want learn urban planning exhibition recommend,1
museum open next tuesday,2
want learn technology exhibition recommend,1
technology climate,5
name chermaine,4
see flooded forest 08 apr,2
see geological wall jul 25,2
interested technology exhibition go to =,1
like ya doin,4
like urban planning brazil,5
good day,4
tyeshia,4
would like see schedule,2
good afternoon,4
like earth,5
see geological wall 23 sep,2
' s ' ve never heard good story,3
6 ticket 01 apr,0
3 ticket monday please,0
technology big bang,5
could get six ticket,0
see sustainable building next sunday,2
6 ticket next friday,0
nine ticket please,0
nature earthquake,5
show exhibition photography,1
want learn amazon exhibition recommend,1
want buy four ticket geological wall exhibition,0
exhibition ecology,1
see sustainable building tuesday,2
see universe room monday,2
worked flooded forest exhibition,2
want learn earthquake exhibition recommend,1
exhibit,2
see know n ' t see n ' t ca n ' t know n ' t see,3
boy girl last year boy twin started real well,3
thing remember try stay together much,3
see universe room 05 mar,2
oh well old dog ?,3
today,2
see geological wall mar 10,2
worked sustainable building exhibition,2
need nine ticket,0
see sustainable building 03 sep,2
part school system ?,3
life deal you ?,4
love biodiversity,5
month,5
3 ticket apr 13,0
miss ' m originally texan miss home cooked mexican,3
related life,1
four,5
7 ticket friday,0
know want privacy fence,3
interested big bang suggest,1
kid like museum,2
one,5
want buy two ticket exhibition earth,0
interested planet urban planning,5
nine,5
like south america,5
one ticket dec 17,0
need one ticket,0
' m sure stepdaughter home ?,3
see universe room oct 24,2
1 ticket flooded forest exhibition,0
friend know high school idea really wanted,3
see flooded forest sunday,2
10 ticket please,0
11 aug,5
many boy room child high school junior,3
good night,4
ten ticket please,0
love evolution astronomy,5
see antarctic base next week,2
5 ticket,0
n ' t mumblex mean always mumblex,3
n ' t like,3
16 sep,5
like exploration,5
interested climate exhibition go to =,1
would like fry,3
love cosmos,5
could get seven ticket,0
like climate change,5
would like go sustainable building exhibition jun 25,0
shawn,4
onika,4
see flooded forest 21 dec,2
earth,5
south pole,5
love exploration space,5
interested climate technology,5
memorable somehow n ' t know,3
8 ticket geological wall exhibition,0
name ferman,4
week,5
mar 14,5
n ' t know attributed think lot woman working,3
love nature biodiversity,5
visiting museum jul 12 part museum see,2
get boring n ' t go ahead,3
know ' s like threw eight aircraft said wrong,3
interested biodiversity exhibition go to =,1
interested sun exhibition go to =,1
light passion mine exhibition caixa museum cover,1
1 ticket antarctic base exhibition,0
flooded forest,2
oh ' s ' s lure,3
love design exhibition go,1
oh mean size wise big ?,3
want buy ticket,0
universe room,5
6 ticket jun 12 please,0
like earth,5
like landscape,5
visiting museum next tuesday part museum see,2
see antarctic base weekend,2
interested amazon suggest,1
like pro actually like pro basket ball opposed mumblex watch pro football like n b play - offs,3
ticket please,0
call dimitrios,4
right know ' s bumble bee pattern,3
matter fact ' m north carolina state,3
like jungle,1
people inhabiting country people nothing government,3
would like one ticket please,0
like technology,5
four ticket jun 16 please,0
want buy six ticket sustainable building exhibition,0
see universe room next week,2
five ticket please,0
see geological wall wednesday,2
would like get 5 ticket please,0
like big bang,5
want buy one ticket universe room exhibition,0
1 ticket oct 29,0
2,5
wednesday,5
3 ticket sep 07,0
mean child ' s school job say nine three,3
camping eating,3
show exhibition rock,1
like astronomy,1
exhibition design,1
well would encourage,3
visiting museum 28 oct part museum see,2
see antarctic base mar 30,2
know five child total,3
ten,3
name agnieszka,4
kid like flooded forest,2
see universe room friday,2
ten ticket today,0
people said work ?,3
30 aug,5
7 ticket jul 02 please,0
love space exhibition go,1
one ticket aug 14 please,0
see flooded forest feb 20,2
show exhibition climate change,1
show exhibition plant,1
4 ticket jun 09 please,0
related brazil,1
still ticket available caixa museum thursday,0
help decide,1
2 ticket,0
07 nov,5
love earth,5
jul 29,5
sunday,2
love photo,5
would like get 4 ticket,0
' s ' s lot know last minute thing happen person,3
like gravity,5
sustainable building,5
getting close twenty think little gift book go n ' t really know,3
' s great n ' t know group,3
much seven ticket museum cost ?,0
would like get eight ticket please,0
see sustainable building wednesday,2
dec 11,2
lindzy,4
see sustainable building nov 03,2
interested sun,5
see geological wall tuesday,2
exhibition big bang,1
thing,4
museum open thursday,2
little thing end,3
exhibition evolution,1
see geological wall thursday,2
want learn water exhibition recommend,1
science environment,5
4 ticket,0
well peru ?,3
want buy 1 ticket flooded forest exhibition,0
n ' t n ' t quite pas,3
call deric,4
26 apr,5
want buy two ticket,0
7 ticket flooded forest exhibition,0
9 ticket exhibition star,0
exhibition light,2
one ticket may 29,0
could please get 4 ticket,0
want learn moon exhibition recommend,1
interested education,5
would like get one ticket,0
like education,5
li - phone long time ?,3
8,5
14 may,2
geological wall,5
2 ticket universe room exhibition,0
would like get two ticket,0
interested education suggest,1
like astronomy,5
like climate change,5
climate big bang,5
much five ticket museum cost ?,0
see geological wall weekend,2
' s plus oh total five child three left living home,3
see flooded forest 04 oct,2
would like 7 ticket,0
much 8 ticket museum cost ?,0
well still think people choice know live ' s know conscience clear,3
10 ticket next sunday please,0
like matter biodiversity,5
interested evolution earthquake,5
entirely much time spent wife wondering,3
worked universe room exhibition,2
planet ecology,5
like forest,5
interested animal suggest,1
today,5
want buy eight ticket universe room exhibition,0
see geological wall saturday,2
7,5
earth,5
see geological wall week,2
plant passion mine exhibition caixa museum cover,1
6,5
ticket next wednesday,0
8,5
like biodiversity,5
see flooded forest oct 05,2
museum open next monday,2
ticket universe room exhibition,0
evolution rock,5
1 ticket universe room exhibition,0
show exhibition environment,1
9,5
10 ticket saturday,0
like astronomy climate,5
like volcano,5
want buy ticket universe room exhibition,0
related education,1
like brazil,1
five ticket monday,0
line work since went school,3
exhibition plant,2
four ticket next tuesday please,0
many exhibition cosmocaixa,2
see flooded forest next weekend,2
next wednesday,5
today,5
one ticket jan 03 please,0
10 ticket caixa museum please,0
how ' ve,4
interested water exhibition go to =,1
want learn evolution exhibition recommend,1
museum open thursday,2
see flooded forest tomorrow,2
eight ticket feb 20 please,0
would like get five ticket,0
interested life,5
